,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,1.0,0.0,1.0,19.0,0.0,0.0,,,,,
2,2.0,1.0,1.0,12.0,0.0,0.0,12.0,11.0,12.0,0.0,log
3,3.0,2.0,1.0,21.0,0.0,0.0,12.0,11.0,12.0,0.0,log
4,4.0,3.0,1.0,26.0,0.0,0.0,26.0,25.0,26.0,0.0,log
5,5.0,4.0,1.0,11.0,0.0,0.0,26.0,11.0,12.0,2.0,log
6,6.0,5.0,1.0,8.0,0.0,0.0,8.0,11.0,12.0,1.0,log
7,7.0,5.0,0.0,0.0,0.0,0.0,26.0,7.0,8.0,0.0,log
8,8.0,6.0,1.0,25.0,0.0,0.0,26.0,25.0,26.0,0.0,log
9,9.0,6.0,0.0,0.0,0.0,0.0,12.0,20.0,21.0,0.0,log
10,10.0,6.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,0.0,log
11,11.0,7.0,1.0,9.0,0.0,0.0,9.0,25.0,,,not_found
12,12.0,8.0,1.0,54.0,0.0,0.0,9.0,10.0,,,not_found
13,13.0,9.0,1.0,38.0,0.0,0.0,26.0,37.0,38.0,0.0,log
14,14.0,9.0,0.0,0.0,0.0,0.0,54.0,24.0,,,not_found
15,15.0,9.0,0.0,0.0,0.0,0.0,26.0,11.0,12.0,3.0,log
16,16.0,10.0,1.0,63.0,0.0,0.0,38.0,24.0,,,not_found
17,17.0,11.0,1.0,60.0,0.0,0.0,63.0,20.0,,,not_found
18,18.0,11.0,0.0,0.0,0.0,0.0,21.0,59.0,60.0,2.0,log
19,19.0,11.0,0.0,0.0,0.0,0.0,12.0,20.0,21.0,6.0,lin
20,20.0,11.0,0.0,0.0,0.0,0.0,54.0,10.0,11.0,3.0,log
21,21.0,12.0,1.0,2.0,0.0,0.0,8.0,25.0,26.0,2.0,log
22,22.0,13.0,1.0,17.0,0.0,0.0,2.0,10.0,11.0,2.0,log
23,23.0,13.0,0.0,0.0,0.0,0.0,54.0,59.0,60.0,1.0,log
24,24.0,12.0,0.0,0.0,1.0,26.0,38.0,1.0,2.0,3.0,log
25,25.0,12.0,0.0,0.0,0.0,0.0,38.0,8.0,9.0,2.0,log
26,26.0,13.0,1.0,62.0,0.0,0.0,38.0,20.0,21.0,3.0,log
27,27.0,13.0,0.0,0.0,0.0,0.0,8.0,59.0,60.0,3.0,log
28,28.0,14.0,1.0,47.0,0.0,0.0,62.0,62.0,63.0,1.0,log
29,29.0,15.0,1.0,10.0,0.0,0.0,63.0,16.0,17.0,5.0,log
30,30.0,15.0,0.0,0.0,0.0,0.0,25.0,53.0,54.0,4.0,log
31,31.0,16.0,1.0,3.0,0.0,0.0,17.0,7.0,,,not_found
32,32.0,16.0,0.0,0.0,0.0,0.0,12.0,59.0,60.0,3.0,log
33,33.0,17.0,1.0,7.0,0.0,0.0,63.0,37.0,38.0,3.0,log
34,34.0,17.0,0.0,0.0,0.0,0.0,47.0,61.0,62.0,3.0,log
35,35.0,17.0,0.0,0.0,0.0,0.0,3.0,10.0,11.0,3.0,log
36,36.0,17.0,0.0,0.0,0.0,0.0,12.0,16.0,17.0,1.0,log
37,37.0,17.0,0.0,0.0,0.0,0.0,63.0,6.0,7.0,2.0,log
38,38.0,17.0,0.0,0.0,0.0,0.0,11.0,46.0,47.0,2.0,log
39,39.0,17.0,0.0,0.0,0.0,0.0,21.0,16.0,17.0,5.0,log
40,40.0,17.0,0.0,0.0,0.0,0.0,62.0,24.0,,,not_found
41,41.0,17.0,0.0,0.0,0.0,0.0,8.0,20.0,21.0,2.0,log
42,42.0,18.0,1.0,32.0,0.0,0.0,21.0,61.0,62.0,3.0,log
43,43.0,18.0,0.0,0.0,0.0,0.0,32.0,37.0,38.0,2.0,log
44,44.0,19.0,1.0,24.0,0.0,0.0,12.0,1.0,2.0,3.0,log
45,45.0,19.0,0.0,0.0,0.0,0.0,10.0,2.0,,,not_found
46,46.0,20.0,1.0,29.0,0.0,0.0,54.0,16.0,17.0,3.0,log
47,47.0,21.0,1.0,28.0,0.0,0.0,54.0,10.0,11.0,5.0,log
48,48.0,22.0,1.0,40.0,0.0,0.0,29.0,6.0,,,not_found
49,49.0,22.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,0.0,log
50,50.0,23.0,1.0,55.0,0.0,0.0,63.0,16.0,17.0,3.0,log
51,51.0,23.0,0.0,0.0,0.0,0.0,8.0,31.0,32.0,1.0,log
52,52.0,24.0,1.0,61.0,0.0,0.0,47.0,28.0,,,not_found
53,53.0,25.0,1.0,30.0,0.0,0.0,10.0,11.0,12.0,2.0,log
54,54.0,25.0,0.0,0.0,0.0,0.0,38.0,24.0,,,not_found
55,55.0,26.0,1.0,0.0,0.0,0.0,62.0,60.0,61.0,2.0,log
56,56.0,26.0,0.0,0.0,0.0,0.0,11.0,46.0,47.0,2.0,log
57,57.0,27.0,1.0,22.0,0.0,0.0,62.0,2.0,,,not_found
