,k,network_n,search_n,jumps
0,3,0,0,1
1,3,0,1,1
2,3,0,2,1
3,3,0,3,3
4,3,0,4,0
5,3,0,5,3
6,3,0,6,3
7,3,0,7,3
8,3,0,8,1
9,3,0,9,2
10,3,0,10,3
11,3,0,11,3
12,3,0,12,2
13,3,0,13,2
14,3,0,14,3
15,3,0,15,2
16,3,0,16,3
17,3,0,17,0
18,3,0,18,2
19,3,0,19,2
20,3,0,20,3
21,3,0,21,1
22,3,0,22,1
23,3,0,23,3
24,3,0,24,2
25,3,0,25,2
26,3,0,26,3
27,3,0,27,0
28,3,0,28,3
29,3,0,29,0
30,3,0,30,0
31,3,0,31,3
32,3,0,32,2
33,3,0,33,1
34,3,0,34,1
35,3,0,35,3
36,3,0,36,3
37,3,0,37,2
38,3,0,38,3
39,3,0,39,0
40,3,0,40,2
41,3,0,41,2
42,3,0,42,3
43,3,0,43,0
44,3,0,44,3
45,3,0,45,2
46,3,0,46,0
47,3,0,47,2
48,3,0,48,2
49,3,0,49,3
50,3,0,50,3
51,3,0,51,2
52,3,0,52,3
53,3,0,53,2
54,3,0,54,2
55,3,0,55,3
56,3,0,56,3
57,3,0,57,2
58,3,0,58,3
59,3,0,59,3
60,3,0,60,1
61,3,0,61,2
62,3,0,62,0
63,3,0,63,2
64,3,0,64,3
65,3,0,65,3
66,3,0,66,0
67,3,0,67,2
68,3,0,68,2
69,3,0,69,3
70,3,0,70,3
71,3,0,71,2
72,3,0,72,2
73,3,0,73,2
74,3,0,74,2
75,3,0,75,1
76,3,0,76,1
77,3,0,77,3
78,3,0,78,3
79,3,0,79,2
80,3,0,80,3
81,3,0,81,2
82,3,0,82,3
83,3,0,83,2
84,3,0,84,3
85,3,0,85,2
86,3,0,86,2
87,3,0,87,2
88,3,0,88,0
89,3,0,89,1
90,3,0,90,2
91,3,0,91,2
92,3,0,92,3
93,3,0,93,3
94,3,0,94,2
95,3,0,95,2
96,3,0,96,3
97,3,0,97,0
98,3,0,98,0
99,3,0,99,3
100,3,1,0,2
101,3,1,1,2
102,3,1,2,3
103,3,1,3,3
104,3,1,4,2
105,3,1,5,2
106,3,1,6,2
107,3,1,7,2
108,3,1,8,3
109,3,1,9,2
110,3,1,10,3
111,3,1,11,3
112,3,1,12,2
113,3,1,13,3
114,3,1,14,2
115,3,1,15,2
116,3,1,16,3
117,3,1,17,3
118,3,1,18,2
119,3,1,19,3
120,3,1,20,2
121,3,1,21,3
122,3,1,22,2
123,3,1,23,0
124,3,1,24,2
125,3,1,25,1
126,3,1,26,0
127,3,1,27,3
128,3,1,28,3
129,3,1,29,3
130,3,1,30,2
131,3,1,31,2
132,3,1,32,0
133,3,1,33,3
134,3,1,34,3
135,3,1,35,3
136,3,1,36,2
137,3,1,37,3
138,3,1,38,3
139,3,1,39,3
140,3,1,40,3
141,3,1,41,3
142,3,1,42,2
143,3,1,43,0
144,3,1,44,2
145,3,1,45,1
146,3,1,46,2
147,3,1,47,2
148,3,1,48,2
149,3,1,49,2
150,3,1,50,2
151,3,1,51,2
152,3,1,52,3
153,3,1,53,2
154,3,1,54,3
155,3,1,55,0
156,3,1,56,3
157,3,1,57,3
158,3,1,58,0
159,3,1,59,3
160,3,1,60,3
161,3,1,61,0
162,3,1,62,3
163,3,1,63,3
164,3,1,64,3
165,3,1,65,3
166,3,1,66,0
167,3,1,67,2
168,3,1,68,3
169,3,1,69,3
170,3,1,70,0
171,3,1,71,1
172,3,1,72,3
173,3,1,73,2
174,3,1,74,2
175,3,1,75,2
176,3,1,76,3
177,3,1,77,3
178,3,1,78,2
179,3,1,79,2
180,3,1,80,2
181,3,1,81,3
182,3,1,82,0
183,3,1,83,3
184,3,1,84,0
