,k,network_n,search_n,jumps
0,3,0,0,2
1,3,0,1,2
2,3,0,2,1
3,3,0,3,1
4,3,0,4,1
5,3,0,5,1
6,3,0,6,0
7,3,0,7,0
8,3,0,8,0
9,3,0,9,2
10,3,0,10,1
11,3,0,11,1
12,3,0,12,0
13,3,0,13,2
14,3,0,14,0
15,3,0,15,1
16,3,0,16,2
17,3,0,17,2
18,3,0,18,1
19,3,0,19,0
20,3,0,20,2
21,3,0,21,0
22,3,0,22,1
23,3,0,23,1
24,3,0,24,0
25,3,0,25,2
26,3,0,26,0
27,3,0,27,0
28,3,0,28,1
29,3,0,29,1
30,3,0,30,1
31,3,0,31,2
32,3,0,32,2
33,3,0,33,1
34,3,0,34,0
35,3,0,35,2
36,3,0,36,2
37,3,0,37,1
38,3,0,38,0
39,3,0,39,1
40,3,0,40,1
41,3,0,41,0
42,3,0,42,2
43,3,0,43,2
44,3,0,44,2
45,3,0,45,1
46,3,0,46,1
47,3,0,47,2
48,3,0,48,0
49,3,0,49,0
50,3,0,50,2
51,3,0,51,1
52,3,0,52,1
53,3,0,53,2
54,3,0,54,2
55,3,0,55,0
56,3,0,56,1
57,3,0,57,1
58,3,0,58,1
59,3,0,59,0
60,3,0,60,0
61,3,0,61,2
62,3,0,62,0
63,3,0,63,1
64,3,0,64,0
65,3,0,65,1
66,3,0,66,0
67,3,0,67,2
68,3,0,68,2
69,3,0,69,0
70,3,0,70,0
71,3,0,71,1
72,3,0,72,1
73,3,0,73,0
74,3,0,74,0
75,3,0,75,0
76,3,0,76,2
77,3,0,77,0
78,3,0,78,1
79,3,0,79,2
80,3,0,80,2
81,3,0,81,2
82,3,0,82,1
83,3,0,83,2
84,3,0,84,2
85,3,0,85,0
86,3,0,86,0
87,3,0,87,0
88,3,0,88,1
89,3,0,89,0
90,3,0,90,0
91,3,0,91,1
92,3,0,92,0
93,3,0,93,2
94,3,0,94,2
95,3,0,95,1
96,3,0,96,0
97,3,0,97,1
98,3,0,98,1
99,3,0,99,1
100,3,1,0,0
101,3,1,1,1
102,3,1,2,2
103,3,1,3,2
104,3,1,4,2
105,3,1,5,1
106,3,1,6,0
107,3,1,7,2
108,3,1,8,2
109,3,1,9,0
110,3,1,10,2
111,3,1,11,1
112,3,1,12,1
113,3,1,13,1
114,3,1,14,0
115,3,1,15,0
116,3,1,16,1
117,3,1,17,0
118,3,1,18,1
119,3,1,19,1
120,3,1,20,0
121,3,1,21,0
122,3,1,22,0
123,3,1,23,2
124,3,1,24,2
125,3,1,25,2
126,3,1,26,0
127,3,1,27,0
128,3,1,28,1
129,3,1,29,1
130,3,1,30,1
131,3,1,31,2
132,3,1,32,2
133,3,1,33,2
134,3,1,34,0
135,3,1,35,0
136,3,1,36,2
137,3,1,37,1
138,3,1,38,1
139,3,1,39,1
140,3,1,40,2
141,3,1,41,1
142,3,1,42,2
143,3,1,43,0
144,3,1,44,1
145,3,1,45,1
146,3,1,46,2
147,3,1,47,0
148,3,1,48,0
149,3,1,49,0
150,3,1,50,0
151,3,1,51,1
152,3,1,52,0
153,3,1,53,0
154,3,1,54,2
155,3,1,55,0
156,3,1,56,1
157,3,1,57,2
158,3,1,58,2
159,3,1,59,1
160,3,1,60,2
161,3,1,61,0
162,3,1,62,0
163,3,1,63,1
164,3,1,64,2
165,3,1,65,2
166,3,1,66,2
167,3,1,67,1
168,3,1,68,2
169,3,1,69,0
170,3,1,70,1
171,3,1,71,0
172,3,1,72,0
173,3,1,73,2
174,3,1,74,0
175,3,1,75,1
176,3,1,76,0
177,3,1,77,0
178,3,1,78,0
179,3,1,79,2
180,3,1,80,1
181,3,1,81,2
182,3,1,82,1
183,3,1,83,0
184,3,1,84,0
185,3,1,85,1
186,3,1,86,1
187,3,1,87,0
188,3,1,88,0
189,3,1,89,2
190,3,1,90,1
191,3,1,91,1
192,3,1,92,1
193,3,1,93,2
194,3,1,94,0
195,3,1,95,0
196,3,1,96,1
197,3,1,97,0
198,3,1,98,1
199,3,1,99,1
200,3,2,0,2
201,3,2,1,2
202,3,2,2,1
203,3,2,3,0
204,3,2,4,2
205,3,2,5,1
206,3,2,6,2
207,3,2,7,1
208,3,2,8,1
209,3,2,9,0
210,3,2,10,1
211,3,2,11,0
212,3,2,12,1
213,3,2,13,0
214,3,2,14,2
215,3,2,15,2
216,3,2,16,0
217,3,2,17,0
218,3,2,18,2
219,3,2,19,2
220,3,2,20,1
221,3,2,21,0
222,3,2,22,1
223,3,2,23,0
224,3,2,24,0
225,3,2,25,2
226,3,2,26,0
227,3,2,27,0
228,3,2,28,2
229,3,2,29,1
230,3,2,30,1
231,3,2,31,2
232,3,2,32,0
233,3,2,33,1
234,3,2,34,0
235,3,2,35,1
236,3,2,36,1
237,3,2,37,2
238,3,2,38,1
239,3,2,39,1
240,3,2,40,2
241,3,2,41,0
242,3,2,42,1
243,3,2,43,1
244,3,2,44,1
