,k,network_n,search_n,jumps
0,3,0,0,1
1,3,0,1,0
2,3,0,2,1
3,3,0,3,0
4,3,0,4,0
5,3,0,5,1
6,3,0,6,1
7,3,0,7,1
8,3,0,8,0
9,3,0,9,0
10,3,0,10,1
11,3,0,11,1
12,3,0,12,0
13,3,0,13,1
14,3,0,14,0
15,3,0,15,0
16,3,0,16,1
17,3,0,17,0
18,3,0,18,1
19,3,0,19,0
20,3,0,20,0
21,3,0,21,0
22,3,0,22,1
23,3,0,23,0
24,3,0,24,0
25,3,0,25,1
26,3,0,26,1
27,3,0,27,1
28,3,0,28,0
29,3,0,29,0
30,3,0,30,1
31,3,0,31,0
32,3,0,32,1
33,3,0,33,0
34,3,0,34,0
35,3,0,35,1
36,3,0,36,0
37,3,0,37,0
38,3,0,38,0
39,3,0,39,0
40,3,0,40,1
41,3,0,41,0
42,3,0,42,1
43,3,0,43,1
44,3,0,44,0
45,3,0,45,0
46,3,0,46,0
47,3,0,47,1
48,3,0,48,0
49,3,0,49,0
50,3,0,50,0
51,3,0,51,0
52,3,0,52,0
53,3,0,53,0
54,3,0,54,0
55,3,0,55,1
56,3,0,56,0
57,3,0,57,1
58,3,0,58,1
59,3,0,59,1
60,3,0,60,0
61,3,0,61,1
62,3,0,62,0
63,3,0,63,1
64,3,0,64,0
65,3,0,65,0
66,3,0,66,0
67,3,0,67,0
68,3,0,68,1
69,3,0,69,1
70,3,0,70,1
71,3,0,71,1
72,3,0,72,1
73,3,0,73,1
74,3,0,74,1
75,3,0,75,1
76,3,0,76,0
77,3,0,77,0
78,3,0,78,1
79,3,0,79,1
80,3,0,80,1
81,3,0,81,1
82,3,0,82,0
83,3,0,83,1
84,3,0,84,1
85,3,0,85,0
86,3,0,86,0
87,3,0,87,1
88,3,0,88,0
89,3,0,89,1
90,3,0,90,0
91,3,0,91,0
92,3,0,92,1
93,3,0,93,1
94,3,0,94,0
95,3,0,95,0
96,3,0,96,0
97,3,0,97,0
98,3,0,98,1
99,3,0,99,0
100,3,1,0,0
101,3,1,1,0
102,3,1,2,1
103,3,1,3,1
104,3,1,4,1
105,3,1,5,0
106,3,1,6,1
107,3,1,7,1
108,3,1,8,1
109,3,1,9,0
110,3,1,10,1
111,3,1,11,1
112,3,1,12,1
113,3,1,13,1
114,3,1,14,1
115,3,1,15,0
116,3,1,16,0
117,3,1,17,1
118,3,1,18,1
119,3,1,19,1
120,3,1,20,0
121,3,1,21,0
122,3,1,22,0
123,3,1,23,0
124,3,1,24,1
125,3,1,25,0
126,3,1,26,1
127,3,1,27,0
128,3,1,28,1
129,3,1,29,1
130,3,1,30,0
131,3,1,31,1
132,3,1,32,0
133,3,1,33,0
134,3,1,34,1
135,3,1,35,1
136,3,1,36,0
137,3,1,37,1
138,3,1,38,0
139,3,1,39,1
140,3,1,40,1
141,3,1,41,0
142,3,1,42,0
143,3,1,43,0
144,3,1,44,1
145,3,1,45,0
146,3,1,46,1
147,3,1,47,1
